_unit_id,_trusted_judgments,what_emotion_does_author_express_specifically_about_the_weather,what_emotion_does_author_express_specifically_about_the_weather:confidence,what_emotion_does_author_express_specifically_about_the_weather:confidence_summary,tweet_text
79185670,6,-1,0.6699,"""I can't tell"": 0.67
""Tweet not related to weather condition"": 0.33
",still cold outside ?
79185736,6,-1,0.5084,"""Neutral / author is just sharing information"": 0.172
""I can't tell"": 0.508
""Tweet not related to weather condition"": 0.319
",sunshine cold icy hot smoke ride
79185740,5,-1,0.3956,"""Neutral / author is just sharing information"": 0.392
""I can't tell"": 0.396
""Positive"": 0.212
",happy cinco de mayo means dinner according son mom needs margarita sunshine seattle !
79185756,5,-1,0.3955,"""Neutral / author is just sharing information"": 0.389
""I can't tell"": 0.396
""Tweet not related to weather condition"": 0.215
",;) ment man dat ish happen way num often dats check da weather lol
79185804,5,-1,0.3998,"""I can't tell"": 0.4
""Neutral / author is just sharing information"": 0.387
""Tweet not related to weather condition"": 0.214
",joy wouldn't feel good wasn't pain sunshine wouldn't essential wasn't rain
79185836,5,-1,0.5948,"""Neutral / author is just sharing information"": 0.212
""I can't tell"": 0.595
""Negative"": 0.193
",seriously num degrees
79185913,6,-1,0.3416,"""I can't tell"": 0.342
""Neutral / author is just sharing information"": 0.326
""Positive"": 0.332
",num degrees sunny clouds slight wind good day ? perhaps
79185933,5,-1,0.4077,"""I can't tell"": 0.408
""Neutral / author is just sharing information"": 0.194
""Tweet not related to weather condition"": 0.398
",ment man need weather
79185971,6,-1,0.4901,"""I can't tell"": 0.49
""Neutral / author is just sharing information"": 0.335
""Positive"": 0.175
",nothing like rainy day
79185974,5,-1,0.4201,"""I can't tell"": 0.42
""Neutral / author is just sharing information"": 0.389
""Tweet not related to weather condition"": 0.191
",holy ! ain't num degrees lol ! http
79186002,5,-1,0.6026,"""I can't tell"": 0.603
""Positive"": 0.197
""Tweet not related to weather condition"": 0.2
",weather nice ill weekend not ball fuck !
79186021,5,-1,0.5897,"""Neutral / author is just sharing information"": 0.41
""I can't tell"": 0.59
",num pull busted ass half dunn ass cars sunny
79186035,6,-1,0.674,"""Neutral / author is just sharing information"": 0.158
""I can't tell"": 0.674
""Tweet not related to weather condition"": 0.168
",sunny num isu isu num problem
