_unit_id,_trusted_judgments,what_emotion_does_author_express_specifically_about_the_weather,what_emotion_does_author_express_specifically_about_the_weather:confidence,what_emotion_does_author_express_specifically_about_the_weather:confidence_summary,tweet_text
71887099,6,-1,0.5052,"""Neutral / author is just sharing information"": 0.353
""I can't tell"": 0.505
""Negative"": 0.141
",wet weather
71923696,5,-1,0.4317,"""I can't tell"": 0.432
""Neutral / author is just sharing information"": 0.396
""Negative"": 0.173
",another rainy saturday baltimore movie day !
71923709,5,-1,0.4168,"""I can't tell"": 0.417
""Neutral / author is just sharing information"": 0.375
""Negative"": 0.208
",:) goon sleep na coz storm outside not scared bye
71923725,5,-1,0.6043,"""Neutral / author is just sharing information"": 0.396
""I can't tell"": 0.604
",heard hot outside wonder true
71923793,5,-1,0.5945,"""Neutral / author is just sharing information"": 0.406
""I can't tell"": 0.594
",man cuddle weather one cuddle smh
71923839,5,-1,0.4018,"""Neutral / author is just sharing information"": 0.197
""I can't tell"": 0.402
""Positive"": 0.401
",perhaps spring will eventually come michigan actually sunny outside sort went long walk ideas flooded brain mod !
71923923,5,-1,0.433,"""I can't tell"": 0.433
""Neutral / author is just sharing information"": 0.222
""Negative"": 0.345
",ment num degrees bare foot walking water spit type
71923945,5,-1,0.3861,"""Neutral / author is just sharing information"": 0.198
""I can't tell"": 0.386
""Tweet not related to weather condition"": 0.208
""Negative"": 0.208
",every time check weather river's crest gets higher
71923952,5,-1,0.4255,"""I can't tell"": 0.426
""Neutral / author is just sharing information"": 0.203
""Negative"": 0.371
",storm intense
71923955,5,-1,0.5962,"""I can't tell"": 0.596
""Positive"": 0.202
""Negative"": 0.202
",blast working job father law freezing num num time raining half http
71923984,6,-1,0.5,"""Neutral / author is just sharing information"": 0.179
""I can't tell"": 0.5
""Positive"": 0.321
",:-p hope lil ment keep head today rained like crazy yesterday sunny today reason
71924014,5,-1,0.4348,"""I can't tell"": 0.435
""Neutral / author is just sharing information"": 0.381
""Positive"": 0.184
",wow storm tonight !
71924057,5,-1,0.426,"""I can't tell"": 0.426
""Neutral / author is just sharing information"": 0.409
""Tweet not related to weather condition"": 0.165
",ment thanks thunderstorms not better making appearance tonight ! num
71924065,5,-1,0.4117,"""I can't tell"": 0.412
""Positive"": 0.19
""Negative"": 0.398
",hot outside since hot wind better ac ? come parents
71924106,5,-1,0.5922,"""I can't tell"": 0.592
""Positive"": 0.408
",sun brings everyone hula sea waterfront missed dry weather
71924115,5,-1,0.5819,"""I can't tell"": 0.582
""Neutral / author is just sharing information"": 0.418
",ment figure will rainy weather num coming
71924116,5,-1,0.4026,"""I can't tell"": 0.403
""Neutral / author is just sharing information"": 0.206
""Negative"": 0.391
",ment not just weather hot today num num http tipping service
71924137,5,-1,0.4029,"""I can't tell"": 0.403
""Neutral / author is just sharing information"": 0.201
""Negative"": 0.397
",ment just num degrees back phil crazy weather !
71924146,5,-1,0.412,"""I can't tell"": 0.412
""Neutral / author is just sharing information"": 0.387
""Positive"": 0.201
",might raining outside bright warm inside pink jewels ! looks like spring long http
71924170,5,-1,0.8047,"""I can't tell"": 0.805
""Tweet not related to weather condition"": 0.195
",d: ment que demi de sunny entre ela mais culpa joe jonas
71924270,5,-1,0.599,"""Neutral / author is just sharing information"": 0.194
""I can't tell"": 0.599
""Tweet not related to weather condition"": 0.207
",tonight played part thor just brought catastrophic thunderstorms tornadoes lexington soon bring rock !
71924349,5,-1,0.4207,"""Neutral / author is just sharing information"": 0.397
""I can't tell"": 0.421
""Negative"": 0.182
",huh another storm ?
71924354,5,-1,0.4228,"""Neutral / author is just sharing information"": 0.376
""I can't tell"": 0.423
""Negative"": 0.201
",ment another morning volunteering dignity center snow falling clients slow appear
71924364,5,-1,0.4026,"""I can't tell"": 0.403
""Positive"": 0.206
""Tweet not related to weather condition"": 0.391
",ment ! pray pretty weather !
71924422,5,-1,0.4025,"""I can't tell"": 0.403
""Neutral / author is just sharing information"": 0.199
""Tweet not related to weather condition"": 0.398
",ment think cloudy bahamas ? hope john neva nice weather kids still ?
71924437,5,-1,0.4035,"""I can't tell"": 0.404
""Neutral / author is just sharing information"": 0.196
""Negative"": 0.4
",ment dude crazy storm
71924460,5,-1,0.4063,"""Neutral / author is just sharing information"": 0.195
""I can't tell"": 0.406
""Negative"": 0.398
",everytime storm late daughter think suppose num pull already
71924497,5,-1,0.4043,"""Neutral / author is just sharing information"": 0.199
""I can't tell"": 0.404
""Negative"": 0.397
",weather affecting lifestyle
71924531,5,-1,0.4215,"""I can't tell"": 0.422
""Neutral / author is just sharing information"": 0.38
""Negative"": 0.198
",ment look looks like storm
71924564,5,-1,0.7828,"""Neutral / author is just sharing information"": 0.217
""I can't tell"": 0.783
",weather
71924598,5,-1,0.6287,"""I can't tell"": 0.629
""Tweet not related to weather condition"": 0.371
",man let weather get them
71924619,5,-1,0.4372,"""I can't tell"": 0.437
""Neutral / author is just sharing information"": 0.371
""Positive"": 0.191
",num degrees water like num oh like nice cold glass salt water
71924622,5,-1,0.8059,"""Neutral / author is just sharing information"": 0.194
""I can't tell"": 0.806
",snow
71924658,5,-1,0.4035,"""I can't tell"": 0.403
""Neutral / author is just sharing information"": 0.194
""Positive"": 0.195
""Negative"": 0.208
",great time easter egg hunt today despite cold snow look pictures soon
71924694,6,-1,0.343,"""Neutral / author is just sharing information"": 0.34
""I can't tell"": 0.343
""Tweet not related to weather condition"": 0.317
",ment honey put away num degrees
71924716,5,-1,0.4225,"""I can't tell"": 0.422
""Neutral / author is just sharing information"": 0.184
""Tweet not related to weather condition"": 0.393
",hop toy store rocks pick easter goodies weather hits ! still got lots http
71924731,5,-1,0.4278,"""Neutral / author is just sharing information"": 0.2
""I can't tell"": 0.428
""Negative"": 0.373
",little windy side
71924733,5,-1,0.396,"""Neutral / author is just sharing information"": 0.215
""I can't tell"": 0.396
""Tweet not related to weather condition"": 0.389
",ment holding weather ?
